specimen_id	cell_type_name	percent_live_cell
485	CD19-CD3-	22.3
485	NK cells (CD3-CD19-CD56+)	5.4
485	CD3-CD19-CD56- cells	16.9
485	Monocytes	12.7
485	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	1.03
485	non-pDCs	0.42
485	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.026
485	Conventional dendritic cells (cDCs)	0.4
485	cDC1	0.027
485	cDC2	0.33
485	pDC	0.56
485	Classical_Monocytes	10.3
485	Intermediate_Monocytes	0.73
485	Non-Classical_Monocytes	0.5
485	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	4.16
485	Activated granulocytes	0.078
485	Basophils	1.78
485	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	2.3
485	NK	4.75
485	CD56high NK cells	0.46
486	CD3CD19	0.29
486	CD19+ CD3-	12.0
486	MB doublets (CD19+CD14+)	0.019
486	Bcells	11.9
486	B cells (CD19+CD3-CD14-CD56-)	11.7
486	B cells (CD19+CD20+CD3-CD14-CD56-)	11.5
486	Memory B cells	1.85
486	Naive B cells	9.38
486	Proliferating B cells	0.3
486	Activated B cells (ABCs)	0.17
486	ASCs (Plasmablasts)	0.12
486	B:NK doublets (CD19+CD3-CD14-CD56+)	0.25
486	CD3CD19neg	59.8
486	T cells (CD19-CD3+CD14-)	59.1
486	CD56+ CD3high T cells	0.33
486	CD56+CD3+T cells	1.73
486	CD3 Tcells	56.8
486	CD4Tcells	35.7
486	NaiveCD4	26.8
486	TcmCD4	6.69
486	TemraCD4	0.14
486	TemCD4	2.02
486	CD4+CD8+ T cells	0.53
486	CD4-CD8- T cells	2.89
486	CD8Tcells	16.7
486	NaiveCD8	11.9
486	TcmCD8	0.85
486	TemCD8	1.49
486	TemraCD8	2.43
486	T:M doublets (CD19-CD3+CD14+)	0.71
486	CD19-CD3-	28.0
486	NK cells (CD3-CD19-CD56+)	6.32
486	CD3-CD19-CD56- cells	21.6
486	Monocytes	18.7
486	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	1.45
486	non-pDCs	0.68
486	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.062
486	Conventional dendritic cells (cDCs)	0.61
486	cDC1	0.031
486	cDC2	0.5
486	pDC	0.7
486	Classical_Monocytes	15.8
486	Intermediate_Monocytes	0.76
486	Non-Classical_Monocytes	0.56
486	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	2.9
486	Activated granulocytes	0.022
486	Basophils	0.66
486	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	2.21
486	NK	5.32
486	CD56high NK cells	0.66
487	CD3CD19	0.19
487	CD19+ CD3-	8.14
487	MB doublets (CD19+CD14+)	0.00811
487	Bcells	8.13
487	B cells (CD19+CD3-CD14-CD56-)	7.99
487	B cells (CD19+CD20+CD3-CD14-CD56-)	7.9
487	Memory B cells	1.31
487	Naive B cells	6.43
487	Proliferating B cells	0.17
487	Activated B cells (ABCs)	0.12
487	ASCs (Plasmablasts)	0.046
487	B:NK doublets (CD19+CD3-CD14-CD56+)	0.13
487	CD3CD19neg	69.9
487	T cells (CD19-CD3+CD14-)	69.7
487	CD56+ CD3high T cells	0.46
487	CD56+CD3+T cells	1.71
487	CD3 Tcells	67.5
487	CD4Tcells	42.8
487	NaiveCD4	30.7
487	TcmCD4	9.56
487	TemraCD4	0.11
487	TemCD4	2.45
487	CD4+CD8+ T cells	0.37
487	CD4-CD8- T cells	2.96
487	CD8Tcells	20.5
487	NaiveCD8	15.2
487	TcmCD8	1.09
487	TemCD8	2.08
487	TemraCD8	2.2
487	T:M doublets (CD19-CD3+CD14+)	0.21
487	CD19-CD3-	21.8
487	NK cells (CD3-CD19-CD56+)	6.42
487	CD3-CD19-CD56- cells	15.3
487	Monocytes	11.7
487	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	0.97
487	non-pDCs	0.47
487	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.027
487	Conventional dendritic cells (cDCs)	0.44
487	cDC1	0.022
487	cDC2	0.36
487	pDC	0.47
487	Classical_Monocytes	9.74
487	Intermediate_Monocytes	0.39
487	Non-Classical_Monocytes	0.52
487	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	3.56
487	Activated granulocytes	0.031
487	Basophils	1.33
487	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	2.2
487	NK	5.66
487	CD56high NK cells	0.53
490	CD3CD19	0.46
490	CD19+ CD3-	13.0
490	MB doublets (CD19+CD14+)	0.016
490	Bcells	13.0
490	B cells (CD19+CD3-CD14-CD56-)	12.9
490	B cells (CD19+CD20+CD3-CD14-CD56-)	12.6
490	Memory B cells	3.26
490	Naive B cells	9.11
490	Proliferating B cells	0.24
490	Activated B cells (ABCs)	0.2
490	ASCs (Plasmablasts)	0.024
490	B:NK doublets (CD19+CD3-CD14-CD56+)	0.13
490	CD3CD19neg	52.1
490	T cells (CD19-CD3+CD14-)	52.0
490	CD56+ CD3high T cells	0.21
490	CD56+CD3+T cells	0.5
490	CD3 Tcells	51.2
490	CD4Tcells	21.9
490	NaiveCD4	6.07
490	TcmCD4	3.99
490	TemraCD4	5.36
490	TemCD4	6.5
490	CD4+CD8+ T cells	0.58
490	CD4-CD8- T cells	3.83
490	CD8Tcells	24.0
490	NaiveCD8	1.95
490	TcmCD8	0.37
490	TemCD8	6.56
490	TemraCD8	15.1
490	T:M doublets (CD19-CD3+CD14+)	0.078
490	CD19-CD3-	34.5
490	NK cells (CD3-CD19-CD56+)	7.54
490	CD3-CD19-CD56- cells	24.4
490	Monocytes	12.9
490	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	1.93
490	non-pDCs	0.66
490	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.028
490	Conventional dendritic cells (cDCs)	0.63
490	cDC1	0.019
490	cDC2	0.52
490	pDC	0.055
490	Classical_Monocytes	1.26
490	Intermediate_Monocytes	0.42
490	Non-Classical_Monocytes	1.36
490	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	10.7
490	Activated granulocytes	0.00418
490	Basophils	3.25
490	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	7.4
490	NK	5.63
490	CD56high NK cells	0.37
491	CD3CD19	0.63
491	CD19+ CD3-	15.4
491	MB doublets (CD19+CD14+)	0.024
491	Bcells	15.4
491	B cells (CD19+CD3-CD14-CD56-)	15.3
491	B cells (CD19+CD20+CD3-CD14-CD56-)	15.1
491	Memory B cells	3.06
491	Naive B cells	11.8
491	Proliferating B cells	0.19
491	Activated B cells (ABCs)	0.17
491	ASCs (Plasmablasts)	0.014
491	B:NK doublets (CD19+CD3-CD14-CD56+)	0.14
491	CD3CD19neg	48.1
491	T cells (CD19-CD3+CD14-)	48.0
491	CD56+ CD3high T cells	0.19
491	CD56+CD3+T cells	0.51
491	CD3 Tcells	47.3
491	CD4Tcells	20.3
491	NaiveCD4	6.16
491	TcmCD4	3.17
491	TemraCD4	5.59
491	TemCD4	5.4
491	CD4+CD8+ T cells	0.66
491	CD4-CD8- T cells	3.6
491	CD8Tcells	21.8
491	NaiveCD8	1.54
491	TcmCD8	0.28
491	TemCD8	5.66
491	TemraCD8	14.4
491	T:M doublets (CD19-CD3+CD14+)	0.12
491	CD19-CD3-	35.8
491	NK cells (CD3-CD19-CD56+)	6.24
491	CD3-CD19-CD56- cells	26.9
491	Monocytes	13.8
491	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	2.1
491	non-pDCs	0.59
491	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.019
491	Conventional dendritic cells (cDCs)	0.57
491	cDC1	0.00552
491	cDC2	0.52
491	pDC	0.052
491	Classical_Monocytes	1.62
491	Intermediate_Monocytes	0.47
491	Non-Classical_Monocytes	2.68
491	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	12.2
491	Activated granulocytes	0.006
491	Basophils	5.24
491	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	6.93
491	NK	4.65
491	CD56high NK cells	0.23
492	CD3CD19	0.39
492	CD19+ CD3-	11.1
492	MB doublets (CD19+CD14+)	0.014
492	Bcells	11.1
492	B cells (CD19+CD3-CD14-CD56-)	10.9
492	B cells (CD19+CD20+CD3-CD14-CD56-)	10.7
492	Memory B cells	2.26
492	Naive B cells	8.3
492	Proliferating B cells	0.14
492	Activated B cells (ABCs)	0.13
492	ASCs (Plasmablasts)	0.00452
492	B:NK doublets (CD19+CD3-CD14-CD56+)	0.17
492	CD3CD19neg	56.7
492	T cells (CD19-CD3+CD14-)	56.7
492	CD56+ CD3high T cells	0.3
492	CD56+CD3+T cells	0.31
492	CD3 Tcells	56.0
492	CD4Tcells	25.0
492	NaiveCD4	9.0
492	TcmCD4	5.28
492	TemraCD4	4.66
492	TemCD4	6.08
492	CD4+CD8+ T cells	0.54
492	CD4-CD8- T cells	4.26
492	CD8Tcells	25.2
492	NaiveCD8	3.15
492	TcmCD8	0.54
492	TemCD8	6.19
492	TemraCD8	15.3
492	T:M doublets (CD19-CD3+CD14+)	0.066
492	CD19-CD3-	31.8
492	NK cells (CD3-CD19-CD56+)	8.05
492	CD3-CD19-CD56- cells	21.1
492	Monocytes	12.2
492	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	1.62
492	non-pDCs	0.54
492	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.024
492	Conventional dendritic cells (cDCs)	0.51
492	cDC1	0.00452
492	cDC2	0.44
492	pDC	0.1
492	Classical_Monocytes	2.55
492	Intermediate_Monocytes	0.36
492	Non-Classical_Monocytes	1.85
492	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	7.87
492	Activated granulocytes	0.00928
492	Basophils	3.42
492	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	4.43
492	NK	5.63
492	CD56high NK cells	0.43
493	CD3CD19	0.42
493	CD19+ CD3-	11.8
493	MB doublets (CD19+CD14+)	0.012
493	Bcells	11.8
493	B cells (CD19+CD3-CD14-CD56-)	11.6
493	B cells (CD19+CD20+CD3-CD14-CD56-)	11.2
493	Memory B cells	2.94
493	Naive B cells	8.09
493	Proliferating B cells	0.19
493	Activated B cells (ABCs)	0.18
493	ASCs (Plasmablasts)	0.00703
493	B:NK doublets (CD19+CD3-CD14-CD56+)	0.21
493	CD3CD19neg	51.5
493	T cells (CD19-CD3+CD14-)	51.4
493	CD56+ CD3high T cells	0.37
493	CD56+CD3+T cells	0.59
493	CD3 Tcells	50.5
493	CD4Tcells	19.7
493	NaiveCD4	6.88
493	TcmCD4	4.36
493	TemraCD4	3.75
493	TemCD4	4.73
493	CD4+CD8+ T cells	0.54
493	CD4-CD8- T cells	5.25
493	CD8Tcells	23.8
493	NaiveCD8	2.25
493	TcmCD8	0.5
493	TemCD8	7.93
493	TemraCD8	13.2
493	T:M doublets (CD19-CD3+CD14+)	0.042
493	CD19-CD3-	36.3
493	NK cells (CD3-CD19-CD56+)	12.7
493	CD3-CD19-CD56- cells	20.1
493	Monocytes	9.97
493	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	1.21
493	non-pDCs	0.48
493	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.018
493	Conventional dendritic cells (cDCs)	0.47
493	cDC1	0.014
493	cDC2	0.4
493	pDC	0.099
493	Classical_Monocytes	1.66
493	Intermediate_Monocytes	0.1
493	Non-Classical_Monocytes	1.64
493	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	9.35
493	Activated granulocytes	0.00256
493	Basophils	3.12
493	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	6.23
493	NK	9.08
493	CD56high NK cells	0.63
494	CD3CD19	0.34
494	CD19+ CD3-	10.9
494	MB doublets (CD19+CD14+)	0.00564
494	Bcells	10.9
494	B cells (CD19+CD3-CD14-CD56-)	10.8
494	B cells (CD19+CD20+CD3-CD14-CD56-)	10.5
494	Memory B cells	2.28
494	Naive B cells	8.05
494	Proliferating B cells	0.15
494	Activated B cells (ABCs)	0.14
494	ASCs (Plasmablasts)	0.00282
494	B:NK doublets (CD19+CD3-CD14-CD56+)	0.13
494	CD3CD19neg	59.9
494	T cells (CD19-CD3+CD14-)	59.9
494	CD56+ CD3high T cells	0.34
494	CD56+CD3+T cells	0.27
494	CD3 Tcells	59.3
494	CD4Tcells	30.2
494	NaiveCD4	14.4
494	TcmCD4	5.95
494	TemraCD4	4.22
494	TemCD4	5.67
494	CD4+CD8+ T cells	0.47
494	CD4-CD8- T cells	3.97
494	CD8Tcells	23.8
494	NaiveCD8	2.38
494	TcmCD8	0.23
494	TemCD8	6.13
494	TemraCD8	15.0
494	T:M doublets (CD19-CD3+CD14+)	0.033
494	CD19-CD3-	28.8
494	NK cells (CD3-CD19-CD56+)	8.73
494	CD3-CD19-CD56- cells	17.9
494	Monocytes	9.09
494	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	1.1
494	non-pDCs	0.48
494	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.025
494	Conventional dendritic cells (cDCs)	0.45
494	cDC1	0.014
494	cDC2	0.37
494	pDC	0.18
494	Classical_Monocytes	1.33
494	Intermediate_Monocytes	0.2
494	Non-Classical_Monocytes	0.98
494	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	8.22
494	Activated granulocytes	0.00968
494	Basophils	2.47
494	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	5.74
494	NK	6.35
494	CD56high NK cells	0.41
498	CD3CD19	0.34
498	CD19+ CD3-	9.89
498	MB doublets (CD19+CD14+)	0.016
498	Bcells	9.88
498	B cells (CD19+CD3-CD14-CD56-)	9.62
498	B cells (CD19+CD20+CD3-CD14-CD56-)	9.57
498	Memory B cells	0.79
498	Naive B cells	8.61
498	Proliferating B cells	0.16
498	Activated B cells (ABCs)	0.15
498	ASCs (Plasmablasts)	0.00132
498	B:NK doublets (CD19+CD3-CD14-CD56+)	0.25
498	CD3CD19neg	56.1
498	T cells (CD19-CD3+CD14-)	56.0
498	CD56+ CD3high T cells	0.35
498	CD56+CD3+T cells	0.81
498	CD3 Tcells	54.8
498	CD4Tcells	41.1
498	NaiveCD4	22.0
498	TcmCD4	16.5
498	TemraCD4	0.035
498	TemCD4	2.53
498	CD4+CD8+ T cells	0.26
498	CD4-CD8- T cells	1.41
498	CD8Tcells	11.2
498	NaiveCD8	7.43
498	TcmCD8	0.75
498	TemCD8	2.35
498	TemraCD8	0.66
498	T:M doublets (CD19-CD3+CD14+)	0.1
498	CD19-CD3-	33.7
498	NK cells (CD3-CD19-CD56+)	13.7
498	CD3-CD19-CD56- cells	19.9
498	Monocytes	15.8
498	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	1.79
498	non-pDCs	1.01
498	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.22
498	Conventional dendritic cells (cDCs)	0.78
498	cDC1	0.018
498	cDC2	0.73
498	pDC	0.65
498	Classical_Monocytes	12.7
498	Intermediate_Monocytes	0.62
498	Non-Classical_Monocytes	0.41
498	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	4.05
498	Activated granulocytes	0.023
498	Basophils	2.15
498	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	1.87
498	NK	12.8
498	CD56high NK cells	0.87
499	CD3CD19	0.17
499	CD19+ CD3-	8.37
499	MB doublets (CD19+CD14+)	0.011
499	Bcells	8.35
499	B cells (CD19+CD3-CD14-CD56-)	8.11
499	B cells (CD19+CD20+CD3-CD14-CD56-)	8.06
499	Memory B cells	0.62
499	Naive B cells	7.29
499	Proliferating B cells	0.13
499	Activated B cells (ABCs)	0.13
499	ASCs (Plasmablasts)	0.00104
499	B:NK doublets (CD19+CD3-CD14-CD56+)	0.24
499	CD3CD19neg	39.9
499	T cells (CD19-CD3+CD14-)	39.8
499	CD56+ CD3high T cells	0.29
499	CD56+CD3+T cells	0.81
499	CD3 Tcells	38.7
499	CD4Tcells	28.3
499	NaiveCD4	15.7
499	TcmCD4	10.7
499	TemraCD4	0.039
499	TemCD4	1.81
499	CD4+CD8+ T cells	0.16
499	CD4-CD8- T cells	1.25
499	CD8Tcells	8.25
499	NaiveCD8	4.91
499	TcmCD8	0.55
499	TemCD8	2.09
499	TemraCD8	0.7
499	T:M doublets (CD19-CD3+CD14+)	0.091
499	CD19-CD3-	51.6
499	NK cells (CD3-CD19-CD56+)	24.6
499	CD3-CD19-CD56- cells	26.8
499	Monocytes	20.4
499	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	1.57
499	non-pDCs	0.95
499	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.19
499	Conventional dendritic cells (cDCs)	0.76
499	cDC1	0.012
499	cDC2	0.72
499	pDC	0.5
499	Classical_Monocytes	16.5
499	Intermediate_Monocytes	1.43
499	Non-Classical_Monocytes	0.63
499	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	6.4
499	Activated granulocytes	0.033
499	Basophils	3.98
499	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	2.38
499	NK	23.9
499	CD56high NK cells	0.73
500	CD3CD19	0.21
500	CD19+ CD3-	8.49
500	MB doublets (CD19+CD14+)	0.012
500	Bcells	8.48
500	B cells (CD19+CD3-CD14-CD56-)	8.2
500	B cells (CD19+CD20+CD3-CD14-CD56-)	8.11
500	Memory B cells	0.57
500	Naive B cells	7.41
500	Proliferating B cells	0.12
500	Activated B cells (ABCs)	0.12
500	ASCs (Plasmablasts)	0.00116
500	B:NK doublets (CD19+CD3-CD14-CD56+)	0.28
500	CD3CD19neg	41.7
500	T cells (CD19-CD3+CD14-)	41.7
500	CD56+ CD3high T cells	0.29
500	CD56+CD3+T cells	0.81
500	CD3 Tcells	40.6
500	CD4Tcells	29.7
500	NaiveCD4	16.5
500	TcmCD4	10.9
500	TemraCD4	0.033
500	TemCD4	2.22
500	CD4+CD8+ T cells	0.17
500	CD4-CD8- T cells	1.29
500	CD8Tcells	8.62
500	NaiveCD8	5.11
500	TcmCD8	0.56
500	TemCD8	2.08
500	TemraCD8	0.87
500	T:M doublets (CD19-CD3+CD14+)	0.067
500	CD19-CD3-	49.5
500	NK cells (CD3-CD19-CD56+)	27.9
500	CD3-CD19-CD56- cells	21.4
500	Monocytes	15.2
500	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	1.47
500	non-pDCs	0.91
500	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.3
500	Conventional dendritic cells (cDCs)	0.61
500	cDC1	0.00535
500	cDC2	0.57
500	pDC	0.44
500	Classical_Monocytes	10.3
500	Intermediate_Monocytes	2.3
500	Non-Classical_Monocytes	0.77
500	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	6.25
500	Activated granulocytes	0.016
500	Basophils	3.82
500	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	2.41
500	NK	27.2
500	CD56high NK cells	0.69
501	CD3CD19	0.21
501	CD19+ CD3-	11.1
501	MB doublets (CD19+CD14+)	0.00601
501	Bcells	11.1
501	B cells (CD19+CD3-CD14-CD56-)	10.8
501	B cells (CD19+CD20+CD3-CD14-CD56-)	10.4
501	Memory B cells	0.72
501	Naive B cells	9.56
501	Proliferating B cells	0.15
501	Activated B cells (ABCs)	0.14
501	ASCs (Plasmablasts)	0.0037
501	B:NK doublets (CD19+CD3-CD14-CD56+)	0.28
501	CD3CD19neg	50.8
501	T cells (CD19-CD3+CD14-)	50.8
501	CD56+ CD3high T cells	0.18
501	CD56+CD3+T cells	0.69
501	CD3 Tcells	49.9
501	CD4Tcells	37.5
501	NaiveCD4	19.7
501	TcmCD4	15.1
501	TemraCD4	0.038
501	TemCD4	2.63
501	CD4+CD8+ T cells	0.18
501	CD4-CD8- T cells	1.21
501	CD8Tcells	10.2
501	NaiveCD8	6.67
501	TcmCD8	0.79
501	TemCD8	2.14
501	TemraCD8	0.61
501	T:M doublets (CD19-CD3+CD14+)	0.051
501	CD19-CD3-	37.9
501	NK cells (CD3-CD19-CD56+)	16.3
501	CD3-CD19-CD56- cells	21.4
501	Monocytes	15.5
501	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	1.53
501	non-pDCs	0.97
501	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.29
501	Conventional dendritic cells (cDCs)	0.68
501	cDC1	0.012
501	cDC2	0.63
501	pDC	0.39
501	Classical_Monocytes	12.3
501	Intermediate_Monocytes	0.91
501	Non-Classical_Monocytes	0.59
501	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	5.91
501	Activated granulocytes	0.086
501	Basophils	3.69
501	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	2.14
501	NK	15.3
501	CD56high NK cells	0.96
502	CD3CD19	0.3
502	CD19+ CD3-	7.79
502	MB doublets (CD19+CD14+)	0.023
502	Bcells	7.77
502	B cells (CD19+CD3-CD14-CD56-)	7.47
502	B cells (CD19+CD20+CD3-CD14-CD56-)	7.41
502	Memory B cells	0.58
502	Naive B cells	6.69
502	Proliferating B cells	0.13
502	Activated B cells (ABCs)	0.13
502	ASCs (Plasmablasts)	0.000315
502	B:NK doublets (CD19+CD3-CD14-CD56+)	0.29
502	CD3CD19neg	46.0
502	T cells (CD19-CD3+CD14-)	45.9
502	CD56+ CD3high T cells	0.33
502	CD56+CD3+T cells	0.92
502	CD3 Tcells	44.7
502	CD4Tcells	32.7
502	NaiveCD4	15.8
502	TcmCD4	14.2
502	TemraCD4	0.037
502	TemCD4	2.62
502	CD4+CD8+ T cells	0.2
502	CD4-CD8- T cells	1.6
502	CD8Tcells	9.26
502	NaiveCD8	5.08
502	TcmCD8	0.83
502	TemCD8	2.55
502	TemraCD8	0.8
502	T:M doublets (CD19-CD3+CD14+)	0.088
502	CD19-CD3-	45.9
502	NK cells (CD3-CD19-CD56+)	23.4
502	CD3-CD19-CD56- cells	22.2
502	Monocytes	16.1
502	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	1.64
502	non-pDCs	1.0
502	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.21
502	Conventional dendritic cells (cDCs)	0.8
502	cDC1	0.00944
502	cDC2	0.75
502	pDC	0.52
502	Classical_Monocytes	12.5
502	Intermediate_Monocytes	1.14
502	Non-Classical_Monocytes	0.5
502	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	6.15
502	Activated granulocytes	0.042
502	Basophils	4.3
502	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	1.81
502	NK	22.5
502	CD56high NK cells	0.99
506	CD3CD19	0.18
506	CD19+ CD3-	8.1
