protein_id	specimen_id	lower_limit_of_quantitation	protein_expression	quality_control	unit	upper_limit_of_quantitation
O76036	164	0.94884	2.30527	Pass	Normalized Protein eXpression	nan
P48061	164	1.16403	1.30186	Pass	Normalized Protein eXpression	nan
P15514	164	0.76687	1.83134	Pass	Normalized Protein eXpression	nan
Q8IU57	164	1.10678	1.10678	Pass	Normalized Protein eXpression	nan
Q9UN19	164	1.5414	1.5414	Pass	Normalized Protein eXpression	nan
Q9Y2J8	164	1.06422	1.14526	Pass	Normalized Protein eXpression	nan
Q9Y3P8	164	0.76831	3.26365	Pass	Normalized Protein eXpression	nan
P48740	164	0.03242	2.43172	Pass	Normalized Protein eXpression	nan
Q9UQV4	164	1.13762	2.85586	Pass	Normalized Protein eXpression	nan
Q9BXN2	164	0.81368	2.52716	Pass	Normalized Protein eXpression	nan
Q6EIG7	164	0.6826	2.45093	Pass	Normalized Protein eXpression	nan
O95786	164	1.15559	2.40817	Pass	Normalized Protein eXpression	nan
P42701	164	0.98978	1.45124	Pass	Normalized Protein eXpression	nan
Q92844	164	1.75015	1.75015	Pass	Normalized Protein eXpression	nan
Q9UKX5	164	0.84376	1.49156	Pass	Normalized Protein eXpression	nan
P52294	164	0.82712	1.35718	Pass	Normalized Protein eXpression	nan
P18627	164	1.08066	2.44784	Pass	Normalized Protein eXpression	nan
P05113	164	0.64146	0.64146	Pass	Normalized Protein eXpression	nan
Q01151	164	0.78714	2.7491	Pass	Normalized Protein eXpression	nan
P18564	164	0.79855	2.78348	Pass	Normalized Protein eXpression	nan
P78410	164	0.8247	2.98167	Pass	Normalized Protein eXpression	nan
P10145	164	1.76831	8.31243	Pass	Normalized Protein eXpression	nan
Q07011	164	0.06083	5.44926	Pass	Normalized Protein eXpression	nan
Q02763	164	1.35677	7.72645	Pass	Normalized Protein eXpression	nan
P80098	164	0.76805	2.86623	Pass	Normalized Protein eXpression	nan
P29965	164	1.11253	7.16712	Pass	Normalized Protein eXpression	nan
P01583	164	2.19049	2.19049	Pass	Normalized Protein eXpression	nan
Q9BZW8	164	0.68579	6.36426	Pass	Normalized Protein eXpression	nan
P01133	164	1.10642	9.88092	Pass	Normalized Protein eXpression	nan
Q15389	164	0.64209	8.88172	Pass	Normalized Protein eXpression	nan
P13232	164	0.84021	4.23473	Pass	Normalized Protein eXpression	nan
P49763	164	1.72873	7.63059	Pass	Normalized Protein eXpression	nan
Q9Y653	164	0.69203	0.69203	Pass	Normalized Protein eXpression	nan
P13500	164	0.61148	10.04607	Pass	Normalized Protein eXpression	nan
O95727	164	0.32476	3.18318	Pass	Normalized Protein eXpression	nan
O14625	164	1.04797	10.46905	Pass	Normalized Protein eXpression	nan
Q99616	164	0.99965	10.95513	Pass	Normalized Protein eXpression	nan
P50591	164	0.29771	7.5868	Pass	Normalized Protein eXpression	nan
Q07325	164	0.74738	6.4394	Pass	Normalized Protein eXpression	nan
P01732	164	0.77683	10.04239	Pass	Normalized Protein eXpression	nan
Q16790	164	-0.03299	4.03856	Pass	Normalized Protein eXpression	nan
P01574	164	1.09494	1.09494	Pass	Normalized Protein eXpression	nan
P00813	164	-0.47292	2.86316	Pass	Normalized Protein eXpression	nan
P01730	164	-0.96613	0.63173	Pass	Normalized Protein eXpression	nan
P29474	164	0.54836	0.54836	Pass	Normalized Protein eXpression	nan
P60568	164	0.73162	0.73162	Pass	Normalized Protein eXpression	nan
O00182	164	1.74286	7.70505	Pass	Normalized Protein eXpression	nan
P35968	164	-0.31619	6.70579	Pass	Normalized Protein eXpression	nan
P25942	164	0.96605	11.7813	Pass	Normalized Protein eXpression	nan
Q14116	164	0.81842	8.43207	Pass	Normalized Protein eXpression	nan
P20718	164	1.44801	3.11801	Pass	Normalized Protein eXpression	nan
P49767	164	-0.83065	1.1322	Pass	Normalized Protein eXpression	nan
P01137	164	0.30101	1.40049	Pass	Normalized Protein eXpression	nan
P09341	164	2.51127	9.71867	Pass	Normalized Protein eXpression	nan
O43557	164	1.48542	5.3546	Pass	Normalized Protein eXpression	nan
O95760	164	1.17001	1.17001	Pass	Normalized Protein eXpression	nan
O43508	164	0.57673	9.07406	Pass	Normalized Protein eXpression	nan
P01127	164	1.2306	11.69172	Pass	Normalized Protein eXpression	nan
Q15116	164	0.96388	3.06522	Pass	Normalized Protein eXpression	nan
P48023	164	1.08608	6.00422	Pass	Normalized Protein eXpression	nan
Q99731	164	1.09786	9.36578	Pass	Normalized Protein eXpression	nan
P80075	164	0.93715	8.34656	Pass	Normalized Protein eXpression	nan
P13236	164	1.23142	7.46114	Pass	Normalized Protein eXpression	nan
Q14213,P29459	164	0.69935	0.69935	Pass	Normalized Protein eXpression	nan
P09382	164	0.93308	6.48775	Pass	Normalized Protein eXpression	nan
Q9NZQ7	164	1.38518	4.99948	Pass	Normalized Protein eXpression	nan
P26842	164	1.32784	7.34432	Pass	Normalized Protein eXpression	nan
P42830	164	1.09124	10.62574	Pass	Normalized Protein eXpression	nan
P14210	164	1.18589	7.22111	Pass	Normalized Protein eXpression	nan
P12544	164	-0.52628	5.15834	Pass	Normalized Protein eXpression	nan
P09601	164	2.59798	12.32912	Pass	Normalized Protein eXpression	nan
P78423	164	0.23477	5.35761	Pass	Normalized Protein eXpression	nan
P02778	164	-0.49055	7.24565	Pass	Normalized Protein eXpression	nan
P32970	164	0.25899	2.9587	Pass	Normalized Protein eXpression	nan
Q9NP84	164	0.98125	5.28141	Pass	Normalized Protein eXpression	nan
P55773	164	1.08332	10.72048	Pass	Normalized Protein eXpression	nan
P06127	164	0.26383	4.44833	Pass	Normalized Protein eXpression	nan
P10147	164	0.78595	6.17027	Pass	Normalized Protein eXpression	nan
P09237	164	1.39934	10.87917	Pass	Normalized Protein eXpression	nan
P07585	164	0.79796	4.35561	Pass	Normalized Protein eXpression	nan
O75509	164	0.78951	7.56294	Pass	Normalized Protein eXpression	nan
P43489	164	1.80556	3.29623	Pass	Normalized Protein eXpression	nan
Q29983,Q29980	164	0.12298	3.43075	Pass	Normalized Protein eXpression	nan
Q92583	164	0.15595	9.09729	Pass	Normalized Protein eXpression	nan
P21246	164	-0.40973	-0.40973	Pass	Normalized Protein eXpression	nan
P01579	164	1.21747	1.21747	Pass	Normalized Protein eXpression	nan
Q14790	164	0.59442	5.30952	Pass	Normalized Protein eXpression	nan
O75144	164	0.86695	5.42805	Pass	Normalized Protein eXpression	nan
P39900	164	-0.30081	5.40944	Pass	Normalized Protein eXpression	nan
O43927	164	0.39592	9.21861	Pass	Normalized Protein eXpression	nan
Q9BQ51	164	0.06975	2.03508	Pass	Normalized Protein eXpression	nan
P15692	164	1.26213	7.81956	Pass	Normalized Protein eXpression	nan
P05112	164	-0.13459	0.00362	Pass	Normalized Protein eXpression	nan
Q9HBE4	164	1.1857	1.1857	Pass	Normalized Protein eXpression	nan
P35225	164	1.01539	1.01539	Pass	Normalized Protein eXpression	nan
P78556	164	0.99503	6.21585	Pass	Normalized Protein eXpression	nan
P01375	164	1.40285	1.40285	Pass	Normalized Protein eXpression	nan
P10144	164	0.54187	1.8834	Pass	Normalized Protein eXpression	nan
P29459,P29460	164	-0.00596	6.63384	Pass	Normalized Protein eXpression	nan
P09603	164	-0.50076	7.59439	Pass	Normalized Protein eXpression	nan
Q9H6B4	164	1.11092	2.65516	Pass	Normalized Protein eXpression	nan
Q96JA1	164	1.14658	3.43525	Pass	Normalized Protein eXpression	nan
O95502	164	1.28086	4.1713	Pass	Normalized Protein eXpression	nan
P23526	164	1.55207	1.63534	Pass	Normalized Protein eXpression	nan
P52888	164	1.77792	5.51052	Pass	Normalized Protein eXpression	nan
P43234	164	0.50211	2.16712	Pass	Normalized Protein eXpression	nan
Q96LA6	164	1.30854	5.46025	Pass	Normalized Protein eXpression	nan
Q04900	164	1.13971	5.33386	Pass	Normalized Protein eXpression	nan
P20711	164	1.16815	6.12587	Pass	Normalized Protein eXpression	nan
Q9NPH0	164	0.77476	4.12961	Pass	Normalized Protein eXpression	nan
Q03403	164	-0.01481	4.07589	Pass	Normalized Protein eXpression	nan
P25815	164	1.34157	1.34157	Pass	Normalized Protein eXpression	nan
O15123	164	0.81732	1.94368	Pass	Normalized Protein eXpression	nan
Q9Y5K6	164	1.55884	7.29415	Pass	Normalized Protein eXpression	nan
O43827	164	0.35752	0.92514	Pass	Normalized Protein eXpression	nan
Q9NY25	164	1.18984	4.93126	Pass	Normalized Protein eXpression	nan
Q9GZM7	164	1.05249	4.58924	Pass	Normalized Protein eXpression	nan
P35754	164	1.85123	1.85123	Pass	Normalized Protein eXpression	nan
P09104	164	1.33845	4.63705	Pass	Normalized Protein eXpression	nan
O95544	164	1.058	3.20206	Pass	Normalized Protein eXpression	nan
Q9UBU3	164	0.86118	1.79989	Pass	Normalized Protein eXpression	nan
P50452	164	2.76467	3.04552	Pass	Normalized Protein eXpression	nan
P35237	164	1.33965	4.63436	Pass	Normalized Protein eXpression	nan
Q9HBB8	164	0.85941	3.80119	Pass	Normalized Protein eXpression	nan
Q76M96	164	2.02123	5.97283	Pass	Normalized Protein eXpression	nan
Q9NR28	164	2.77598	4.35852	Pass	Normalized Protein eXpression	nan
Q8N1Q1	164	1.22512	6.84395	Pass	Normalized Protein eXpression	nan
Q13275	164	1.57882	3.08099	Pass	Normalized Protein eXpression	nan
O43240	164	1.69848	3.95515	Pass	Normalized Protein eXpression	nan
Q9UKJ0	164	1.12548	4.18194	Pass	Normalized Protein eXpression	nan
O95841	164	-0.06951	2.76406	Pass	Normalized Protein eXpression	nan
P51693	164	1.58884	6.19623	Pass	Normalized Protein eXpression	nan
Q8IZP9	164	0.80795	2.78025	Pass	Normalized Protein eXpression	nan
P19971	164	1.14866	5.79337	Pass	Normalized Protein eXpression	nan
O75791	164	1.3144	2.3173	Pass	Normalized Protein eXpression	nan
A6NI73	164	1.54049	4.27814	Pass	Normalized Protein eXpression	nan
P00352	164	1.26539	1.89286	Pass	Normalized Protein eXpression	nan
P40259	164	0.67358	2.67198	Pass	Normalized Protein eXpression	nan
P09525	164	1.25367	2.4417	Pass	Normalized Protein eXpression	nan
P50995	164	0.37254	3.54843	Pass	Normalized Protein eXpression	nan
Q9Y286	164	0.67089	3.17266	Pass	Normalized Protein eXpression	nan
P26010	164	1.45454	1.45527	Pass	Normalized Protein eXpression	nan
P09417	164	1.85657	5.24304	Pass	Normalized Protein eXpression	nan
O00161	164	0.84723	2.27119	Pass	Normalized Protein eXpression	nan
P27695	164	0.87527	1.52418	Pass	Normalized Protein eXpression	nan
O75356	164	0.42768	1.75951	Pass	Normalized Protein eXpression	nan
Q9H4D0	164	1.49983	3.82441	Pass	Normalized Protein eXpression	nan
P21964	164	2.01635	5.63771	Pass	Normalized Protein eXpression	nan
Q15846	164	0.54408	4.03369	Pass	Normalized Protein eXpression	nan
P51858	164	0.69669	0.79547	Pass	Normalized Protein eXpression	nan
Q6WN34	164	-0.36512	2.46803	Pass	Normalized Protein eXpression	nan
P09668	164	2.46898	2.46898	Pass	Normalized Protein eXpression	nan
Q15155	164	-0.00552	5.74509	Pass	Normalized Protein eXpression	nan
P16083	164	1.20173	1.20173	Pass	Normalized Protein eXpression	nan
Q9BQB4	164	1.00506	6.94732	Pass	Normalized Protein eXpression	nan
Q92520	164	0.63946	6.44615	Pass	Normalized Protein eXpression	nan
Q8NBS9	164	0.58008	3.10316	Pass	Normalized Protein eXpression	nan
P41236	164	1.67236	2.81429	Pass	Normalized Protein eXpression	nan
Q9UHL4	164	1.05458	2.63163	Pass	Normalized Protein eXpression	nan
Q86VZ4	164	1.12099	4.02472	Pass	Normalized Protein eXpression	nan
Q9UHX3	164	0.90058	3.83015	Pass	Normalized Protein eXpression	nan
Q6UWV6	164	0.8773	3.10854	Pass	Normalized Protein eXpression	nan
Q8WTU2	164	0.81887	3.12923	Pass	Normalized Protein eXpression	nan
Q8NI22	164	1.01207	3.85686	Pass	Normalized Protein eXpression	nan
Q9BYZ8	164	2.0946	8.84631	Pass	Normalized Protein eXpression	nan
Q8NBJ7	164	0.63176	5.51156	Pass	Normalized Protein eXpression	nan
Q8WVQ1	164	1.11328	5.21742	Pass	Normalized Protein eXpression	nan
P29017	164	1.71959	5.73489	Pass	Normalized Protein eXpression	nan
P22466	164	0.98938	8.26271	Pass	Normalized Protein eXpression	nan
P19022	164	0.48994	3.08057	Pass	Normalized Protein eXpression	nan
Q06418	164	0.78785	2.86487	Pass	Normalized Protein eXpression	nan
P46109	164	1.31325	4.61649	Pass	Normalized Protein eXpression	nan
Q8WX77	164	1.24459	2.63243	Pass	Normalized Protein eXpression	nan
Q9BZR6	164	0.77159	1.90352	Pass	Normalized Protein eXpression	nan
P13611	164	1.22148	3.88885	Pass	Normalized Protein eXpression	nan
P09467	164	1.42709	1.42709	Pass	Normalized Protein eXpression	nan
P01222	164	1.20455	3.97039	Pass	Normalized Protein eXpression	nan
P46379	164	1.07815	2.6828	Pass	Normalized Protein eXpression	nan
Q92692	164	0.87203	6.3293	Pass	Normalized Protein eXpression	nan
P05089	164	2.04054	2.04054	Pass	Normalized Protein eXpression	nan
P40818	164	1.26597	2.33536	Pass	Normalized Protein eXpression	nan
Q02790	164	0.6775	0.76076	Pass	Normalized Protein eXpression	nan
P31431	164	1.22702	4.99483	Pass	Normalized Protein eXpression	nan
Q9NWQ8	164	1.55256	2.88149	Pass	Normalized Protein eXpression	nan
Q16773	164	2.05163	8.08625	Pass	Normalized Protein eXpression	nan
P98082	164	1.48709	1.48709	Pass	Normalized Protein eXpression	nan
Q9NQX5	164	1.61826	5.76196	Pass	Normalized Protein eXpression	nan
Q641Q3	164	1.46693	4.40134	Pass	Normalized Protein eXpression	nan
Q16820	164	0.90702	2.89086	Pass	Normalized Protein eXpression	nan
Q01973	164	0.56772	2.82292	Pass	Normalized Protein eXpression	nan
NT-proBNP	164	1.59256	3.51037	Pass	Normalized Protein eXpression	nan
P12724	164	1.57095	10.67468	Pass	Normalized Protein eXpression	nan
Q96SB3	257	1.04249	3.4531	Pass	Normalized Protein eXpression	nan
P16278	257	1.26187	2.70059	Pass	Normalized Protein eXpression	nan
O75475	257	1.26807	1.81738	Pass	Normalized Protein eXpression	nan
Q05516	257	0.7018	4.84024	Pass	Normalized Protein eXpression	nan
Q9NWZ3	257	1.52904	1.52904	Pass	Normalized Protein eXpression	nan
Q15661	257	0.86232	4.32798	Pass	Normalized Protein eXpression	nan
P14317	257	0.92094	4.63965	Pass	Normalized Protein eXpression	nan
Q9UHC6	257	0.89232	1.42631	Pass	Normalized Protein eXpression	nan
Q6UXB4	257	1.22117	3.31118	Pass	Normalized Protein eXpression	nan
Q00978	257	1.17154	2.77849	Pass	Normalized Protein eXpression	nan
Q9UNE0	257	1.50621	3.34311	Pass	Normalized Protein eXpression	nan
P05231	257	1.09691	3.32317	Pass	Normalized Protein eXpression	nan
Q13574	257	0.65881	0.65881	Pass	Normalized Protein eXpression	nan
Q8WTT0	257	1.00541	4.40377	Pass	Normalized Protein eXpression	nan
P51617	257	0.26049	2.53929	Pass	Normalized Protein eXpression	nan
Q9UMR7	257	1.13912	4.70386	Pass	Normalized Protein eXpression	nan
Q06830	257	1.04951	2.366	Pass	Normalized Protein eXpression	nan
P30048	257	0.20992	2.44613	Pass	Normalized Protein eXpression	nan
P09038	257	0.54183	0.54183	Pass	Normalized Protein eXpression	nan
P30044	257	0.88832	7.10013	Pass	Normalized Protein eXpression	nan
Q8N608	257	0.62778	1.58513	Pass	Normalized Protein eXpression	nan
Q9C035	257	1.03969	3.85478	Pass	Normalized Protein eXpression	nan
Q14203	257	1.19409	5.03991	Pass	Normalized Protein eXpression	nan
P23229	257	0.81578	1.98247	Pass	Normalized Protein eXpression	nan
Q15517	257	2.62778	2.76499	Pass	Normalized Protein eXpression	nan
Q14435	257	1.31693	1.6521	Pass	Normalized Protein eXpression	nan
Q96DB9	257	1.66908	1.66908	Pass	Normalized Protein eXpression	nan
Q12933	257	1.52693	3.97307	Pass	Normalized Protein eXpression	nan
P19474	257	0.55694	3.48692	Pass	Normalized Protein eXpression	nan
Q8NHJ6	257	1.06875	3.88232	Pass	Normalized Protein eXpression	nan
P34130	257	0.70994	2.52038	Pass	Normalized Protein eXpression	nan
P08727	257	1.19379	3.84674	Pass	Normalized Protein eXpression	nan
O43736	257	0.6847	3.7649	Pass	Normalized Protein eXpression	nan
P50135	257	2.02178	9.62792	Pass	Normalized Protein eXpression	nan
P51671	257	1.38969	9.13295	Pass	Normalized Protein eXpression	nan
Q7Z6M3	257	1.6338	3.17762	Pass	Normalized Protein eXpression	nan
Q9GZT9	257	0.97546	1.22882	Pass	Normalized Protein eXpression	nan
Q12968	257	0.54773	1.02943	Pass	Normalized Protein eXpression	nan
O60449	257	1.60914	2.52616	Pass	Normalized Protein eXpression	nan
P63241	257	1.04843	1.04843	Pass	Normalized Protein eXpression	nan
Q04637	257	1.02182	6.29037	Pass	Normalized Protein eXpression	nan
P10747	257	1.69189	1.69189	Pass	Normalized Protein eXpression	nan
Q03431	257	0.89964	1.49581	Pass	Normalized Protein eXpression	nan
Q13490	257	0.97434	0.97434	Pass	Normalized Protein eXpression	nan
P28845	257	0.85422	2.34969	Pass	Normalized Protein eXpression	nan
P35240	257	-0.91764	-0.91764	Pass	Normalized Protein eXpression	nan
Q9HCM2	257	1.21399	8.68361	Pass	Normalized Protein eXpression	nan
Q9UQQ2	257	1.47484	3.68134	Pass	Normalized Protein eXpression	nan
Q96P31	257	1.13146	1.4256	Pass	Normalized Protein eXpression	nan
Q07065	257	0.92759	4.85836	Pass	Normalized Protein eXpression	nan
P05412	257	0.44482	0.44482	Pass	Normalized Protein eXpression	nan
O94992	257	0.87784	4.94754	Pass	Normalized Protein eXpression	nan
Q8WXI8	257	-0.49584	2.73312	Pass	Normalized Protein eXpression	nan
Q04759	257	1.21837	3.9004	Pass	Normalized Protein eXpression	nan
P16455	257	0.60363	3.68161	Pass	Normalized Protein eXpression	nan
Q9NP99	257	-3.27533	-0.63348	Pass	Normalized Protein eXpression	nan
P78310	257	0.39769	1.92174	Pass	Normalized Protein eXpression	nan
P22301	257	1.6296	4.05017	Pass	Normalized Protein eXpression	nan
P78362	257	0.43217	0.65993	Pass	Normalized Protein eXpression	nan
Q13241	257	1.34491	7.35214	Pass	Normalized Protein eXpression	nan
O14867	257	0.97071	1.57233	Pass	Normalized Protein eXpression	nan
Q6ZUJ8	257	0.9965	3.48899	Pass	Normalized Protein eXpression	nan
O43597	257	1.19063	2.44689	Pass	Normalized Protein eXpression	nan
P52823	257	0.51524	6.57502	Pass	Normalized Protein eXpression	nan
P27540	257	2.92929	2.92929	Pass	Normalized Protein eXpression	nan
P58499	257	1.00622	5.08402	Pass	Normalized Protein eXpression	nan
O60880	257	0.77129	1.51125	Pass	Normalized Protein eXpression	nan
Q05084	257	1.46808	1.91032	Pass	Normalized Protein eXpression	nan
O00273	257	0.82064	5.25942	Pass	Normalized Protein eXpression	nan
Q96PD2	257	0.57076	8.27342	Pass	Normalized Protein eXpression	nan
Q6DN72	257	0.43869	3.63975	Pass	Normalized Protein eXpression	nan
O76036	257	0.94884	2.47203	Pass	Normalized Protein eXpression	nan
P48061	257	1.16403	1.16403	Pass	Normalized Protein eXpression	nan
P15514	257	0.76687	2.32799	Pass	Normalized Protein eXpression	nan
Q8IU57	257	1.10678	1.10678	Pass	Normalized Protein eXpression	nan
Q9UN19	257	1.5414	2.28986	Pass	Normalized Protein eXpression	nan
Q9Y2J8	257	1.06422	1.06422	Pass	Normalized Protein eXpression	nan
Q9Y3P8	257	0.76831	2.91765	Pass	Normalized Protein eXpression	nan
P48740	257	0.03242	2.35508	Pass	Normalized Protein eXpression	nan
Q9UQV4	257	1.13762	4.09796	Pass	Normalized Protein eXpression	nan
Q9BXN2	257	0.81368	3.12951	Pass	Normalized Protein eXpression	nan
Q6EIG7	257	0.6826	2.55121	Pass	Normalized Protein eXpression	nan
O95786	257	1.15559	2.91327	Pass	Normalized Protein eXpression	nan
P42701	257	0.98978	2.27792	Pass	Normalized Protein eXpression	nan
Q92844	257	1.75015	1.75015	Pass	Normalized Protein eXpression	nan
Q9UKX5	257	0.84376	2.54256	Pass	Normalized Protein eXpression	nan
P52294	257	0.82712	0.82712	Pass	Normalized Protein eXpression	nan
P18627	257	1.08066	2.57056	Pass	Normalized Protein eXpression	nan
P05113	257	0.64146	1.76469	Pass	Normalized Protein eXpression	nan
Q01151	257	0.78714	3.59473	Pass	Normalized Protein eXpression	nan
P18564	257	0.79855	3.0594	Pass	Normalized Protein eXpression	nan
P78410	257	0.8247	3.64418	Pass	Normalized Protein eXpression	nan
P10145	257	1.76831	6.97045	Pass	Normalized Protein eXpression	nan
Q07011	257	0.06083	5.76635	Pass	Normalized Protein eXpression	nan
Q02763	257	1.35677	7.96248	Pass	Normalized Protein eXpression	nan
P80098	257	0.76805	3.46629	Pass	Normalized Protein eXpression	nan
P29965	257	1.11253	8.30192	Pass	Normalized Protein eXpression	nan
P01583	257	2.19049	2.19049	Pass	Normalized Protein eXpression	nan
Q9BZW8	257	0.68579	6.42123	Pass	Normalized Protein eXpression	nan
P01133	257	1.10642	10.24854	Pass	Normalized Protein eXpression	nan
Q15389	257	0.64209	9.65101	Pass	Normalized Protein eXpression	nan
P13232	257	0.84021	4.47224	Pass	Normalized Protein eXpression	nan
P49763	257	1.72873	7.95748	Pass	Normalized Protein eXpression	nan
Q9Y653	257	0.69203	0.69203	Pass	Normalized Protein eXpression	nan
P13500	257	0.61148	10.66266	Pass	Normalized Protein eXpression	nan
O95727	257	0.32476	3.85303	Pass	Normalized Protein eXpression	nan
O14625	257	1.04797	11.01593	Pass	Normalized Protein eXpression	nan
Q99616	257	0.99965	10.07344	Pass	Normalized Protein eXpression	nan
P50591	257	0.29771	8.21563	Pass	Normalized Protein eXpression	nan
Q07325	257	0.74738	7.60586	Pass	Normalized Protein eXpression	nan
P01732	257	0.77683	9.66319	Pass	Normalized Protein eXpression	nan
Q16790	257	-0.03299	4.16389	Pass	Normalized Protein eXpression	nan
P01574	257	1.09494	1.09494	Pass	Normalized Protein eXpression	nan
P00813	257	-0.47292	3.2244	Pass	Normalized Protein eXpression	nan
P01730	257	-0.96613	0.95273	Pass	Normalized Protein eXpression	nan
P29474	257	0.54836	0.8603	Pass	Normalized Protein eXpression	nan
P60568	257	0.73162	0.73162	Pass	Normalized Protein eXpression	nan
O00182	257	1.74286	7.83516	Pass	Normalized Protein eXpression	nan
P35968	257	-0.31619	7.07279	Pass	Normalized Protein eXpression	nan
