protein_id	specimen_id	lower_limit_of_quantitation	protein_expression	quality_control	unit	upper_limit_of_quantitation
Q969D9	547	0.47684	nan	Pass	PG/ML	7812.50001
P51671	547	0.23842	219.49916	Pass	PG/ML	15624.99998
P14210	547	0.23842	119.48656	Pass	PG/ML	15624.99995
P49771	547	0.95367	69.15756	Pass	PG/ML	3906.25003
Q96PD4	547	0.23842	0.68725	Pass	PG/ML	3906.24998
P13232	547	0.23842	1.91505	Pass	PG/ML	1953.125
P35225	547	0.47684	nan	Pass	PG/ML	15625.00001
Q14116	547	0.95367	197.0895	Pass	PG/ML	15624.99996
Q99616	547	0.0596	247.67667	Pass	PG/ML	1953.125
P50591	547	0.95367	301.41674	Pass	PG/ML	7812.5
P02778	547	0.11921	78.88962	Pass	PG/ML	1953.12501
P01579	547	0.0298	0.96964	Pass	PG/ML	3906.25001
P22301	547	0.11921	6.27488	Pass	PG/ML	31250.00005
Q99731	547	0.95367	156.09625	Pass	PG/ML	1953.125
P01375	547	3.8147	11.83915	Pass	PG/ML	15625.00004
P40933	547	0.11921	7.72807	Pass	PG/ML	15624.99998
P10147	547	0.0298	12.96125	Pass	PG/ML	1953.125
P10145	547	0.23842	10.19113	Pass	PG/ML	1953.125
P39900	547	7.62939	171.59996	Pass	PG/ML	15624.9999
P04141	547	0.23842	0.07947	Pass	PG/ML	7812.50002
P09919	547	7.62939	59.24399	Pass	PG/ML	62500.00009
P15692	547	0.47684	238.81707	Pass	PG/ML	7812.50003
Q9P0M4	547	1.90735	13.59977	Pass	PG/ML	7812.5
P01133	547	0.47684	285.03596	Pass	PG/ML	976.5625
P13500	547	0.23842	220.18678	Pass	PG/ML	3906.25002
Q16552	547	0.11921	0.2119	Pass	PG/ML	15625.00005
P13725	547	0.11921	3.7511	Pass	PG/ML	1953.125
P09603	547	0.23842	144.0	Pass	PG/ML	3906.24999
P13236	547	0.11921	707.50532	Pass	PG/ML	3906.25001
O14625	547	0.11921	500.97972	Pass	PG/ML	1953.12499
P01374	547	0.11921	6.47405	Pass	PG/ML	3906.25001
P80098	547	0.11921	0.97357	Pass	PG/ML	1953.125
P03956	547	0.95367	229.30385	Pass	PG/ML	7812.49998
P80075	540	0.0298	41.34015	Pass	PG/ML	1953.125
O95760	540	0.23842	0.23403	Pass	PG/ML	7812.50001
P48061	540	30.51758	145.70442	Pass	PG/ML	31249.99966
P78380	540	0.95367	108.20778	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	540	0.23842	2.65923	Pass	PG/ML	31250.0
P60568	540	0.11921	0.00595	Pass	PG/ML	3906.25003
Q07325	540	0.11921	37.07433	Pass	PG/ML	1953.12499
P01135	540	0.47684	6.10794	Pass	PG/ML	1953.12499
P01584	540	0.19073	0.06417	Pass	PG/ML	3125.00001
P05231	540	0.0596	1.28334	Pass	PG/ML	3906.25
P05112	540	0.0596	0.01857	Pass	PG/ML	3906.25
O43508	540	3.8147	347.28144	Pass	PG/ML	15625.00004
Q969D9	540	0.47684	0.13319	Pass	PG/ML	7812.50001
P51671	540	0.23842	249.59703	Pass	PG/ML	15624.99998
P14210	540	0.23842	115.99809	Pass	PG/ML	15624.99995
P49771	540	0.95367	126.97551	Pass	PG/ML	3906.25003
Q96PD4	540	0.23842	0.59371	Pass	PG/ML	3906.24998
P13232	540	0.23842	0.50845	Pass	PG/ML	1953.125
P35225	540	0.47684	0.38283	Pass	PG/ML	15625.00001
Q14116	540	0.95367	187.81885	Pass	PG/ML	15624.99996
Q99616	540	0.0596	448.4524	Pass	PG/ML	1953.125
P50591	540	0.95367	432.06738	Pass	PG/ML	7812.5
P02778	540	0.11921	64.47906	Pass	PG/ML	1953.12501
P01579	540	0.0298	0.20135	Pass	PG/ML	3906.25001
P22301	540	0.11921	4.78202	Pass	PG/ML	31250.00005
Q99731	540	0.95367	69.6495	Pass	PG/ML	1953.125
P01375	540	3.8147	12.58493	Pass	PG/ML	15625.00004
P40933	540	0.11921	11.01649	Pass	PG/ML	15624.99998
P10147	540	0.0298	3.39434	Pass	PG/ML	1953.125
P10145	540	0.23842	6.84692	Pass	PG/ML	1953.125
P39900	540	7.62939	136.37056	Pass	PG/ML	15624.9999
P04141	540	0.23842	0.15227	Pass	PG/ML	7812.50002
P09919	540	7.62939	54.77077	Pass	PG/ML	62500.00009
P15692	540	0.47684	153.98746	Pass	PG/ML	7812.50003
Q9P0M4	540	1.90735	22.17662	Pass	PG/ML	7812.5
P01133	540	0.47684	81.05702	Pass	PG/ML	976.5625
P13500	540	0.23842	309.66443	Pass	PG/ML	3906.25002
Q16552	540	0.11921	3.97906	Pass	PG/ML	15625.00005
P13725	540	0.11921	1.73889	Pass	PG/ML	1953.125
P09603	540	0.23842	134.58562	Pass	PG/ML	3906.24999
P13236	540	0.11921	35.6026	Pass	PG/ML	3906.25001
O14625	540	0.11921	377.30821	Pass	PG/ML	1953.12499
P01374	540	0.11921	10.08092	Pass	PG/ML	3906.25001
P80098	540	0.11921	1.36372	Pass	PG/ML	1953.125
P03956	540	0.95367	405.41485	Pass	PG/ML	7812.49998
P80075	471	0.0298	13.21719	Pass	PG/ML	1953.125
O95760	471	0.23842	0.13493	Pass	PG/ML	7812.50001
P48061	471	30.51758	165.60375	Pass	PG/ML	31249.99966
P78380	471	0.95367	105.78168	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	471	0.23842	4.31532	Pass	PG/ML	31250.0
P60568	471	0.11921	0.00288	Pass	PG/ML	3906.25003
Q07325	471	0.11921	61.44951	Pass	PG/ML	1953.12499
P01135	471	0.47684	5.76319	Pass	PG/ML	1953.12499
P01584	471	0.19073	0.02483	Pass	PG/ML	3125.00001
P05231	471	0.0596	0.72008	Pass	PG/ML	3906.25
P05112	471	0.0596	0.0204	Pass	PG/ML	3906.25
O43508	471	3.8147	274.77965	Pass	PG/ML	15625.00004
Q969D9	471	0.47684	0.05121	Pass	PG/ML	7812.50001
P51671	471	0.23842	180.79819	Pass	PG/ML	15624.99998
P14210	471	0.23842	94.50728	Pass	PG/ML	15624.99995
P49771	471	0.95367	95.56345	Pass	PG/ML	3906.25003
Q96PD4	471	0.23842	0.89611	Pass	PG/ML	3906.24998
P13232	471	0.23842	0.53049	Pass	PG/ML	1953.125
P35225	471	0.47684	0.20217	Pass	PG/ML	15625.00001
Q14116	471	0.95367	175.0192	Pass	PG/ML	15624.99996
Q99616	471	0.0596	123.9073	Pass	PG/ML	1953.125
P50591	471	0.95367	269.39279	Pass	PG/ML	7812.5
P02778	471	0.11921	58.37619	Pass	PG/ML	1953.12501
P01579	471	0.0298	0.24309	Pass	PG/ML	3906.25001
P22301	471	0.11921	6.07919	Pass	PG/ML	31250.00005
Q99731	471	0.95367	98.14596	Pass	PG/ML	1953.125
P01375	471	3.8147	13.19111	Pass	PG/ML	15625.00004
P40933	471	0.11921	8.25429	Pass	PG/ML	15624.99998
P10147	471	0.0298	4.34232	Pass	PG/ML	1953.125
P10145	471	0.23842	5.03484	Pass	PG/ML	1953.125
P39900	471	7.62939	202.16343	Pass	PG/ML	15624.9999
P04141	471	0.23842	0.12904	Pass	PG/ML	7812.50002
P09919	471	7.62939	94.54236	Pass	PG/ML	62500.00009
P15692	471	0.47684	206.42702	Pass	PG/ML	7812.50003
Q9P0M4	471	1.90735	12.85994	Pass	PG/ML	7812.5
P01133	471	0.47684	86.94915	Pass	PG/ML	976.5625
P13500	471	0.23842	196.35577	Pass	PG/ML	3906.25002
Q16552	471	0.11921	1.7956	Pass	PG/ML	15625.00005
P13725	471	0.11921	2.11486	Pass	PG/ML	1953.125
P09603	471	0.23842	143.2246	Pass	PG/ML	3906.24999
P13236	471	0.11921	49.05419	Pass	PG/ML	3906.25001
O14625	471	0.11921	507.13714	Pass	PG/ML	1953.12499
P01374	471	0.11921	11.93706	Pass	PG/ML	3906.25001
P80098	471	0.11921	2.01692	Pass	PG/ML	1953.125
P03956	471	0.95367	1327.07364	Pass	PG/ML	7812.49998
P80075	645	0.0298	34.79069	Pass	PG/ML	1953.125
O95760	645	0.23842	0.37665	Pass	PG/ML	7812.50001
P48061	645	30.51758	198.10741	Pass	PG/ML	31249.99966
P78380	645	0.95367	177.40028	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	645	0.23842	7.91674	Pass	PG/ML	31250.0
P60568	645	0.11921	0.00838	Pass	PG/ML	3906.25003
Q07325	645	0.11921	68.11767	Pass	PG/ML	1953.12499
P01135	645	0.47684	7.28343	Pass	PG/ML	1953.12499
P01584	645	0.19073	0.09762	Pass	PG/ML	3125.00001
P05231	645	0.0596	7.23439	Pass	PG/ML	3906.25
P05112	645	0.0596	0.00908	Pass	PG/ML	3906.25
O43508	645	3.8147	314.08656	Pass	PG/ML	15625.00004
Q969D9	645	0.47684	nan	Pass	PG/ML	7812.50001
P51671	645	0.23842	205.12716	Pass	PG/ML	15624.99998
P14210	645	0.23842	173.37439	Pass	PG/ML	15624.99995
P49771	645	0.95367	115.03206	Pass	PG/ML	3906.25003
Q96PD4	645	0.23842	0.32461	Pass	PG/ML	3906.24998
P13232	645	0.23842	0.69825	Pass	PG/ML	1953.125
P35225	645	0.47684	0.37044	Pass	PG/ML	15625.00001
Q14116	645	0.95367	168.97515	Pass	PG/ML	15624.99996
Q99616	645	0.0596	474.82614	Pass	PG/ML	1953.125
P50591	645	0.95367	547.52571	Pass	PG/ML	7812.5
P02778	645	0.11921	155.0339	Pass	PG/ML	1953.12501
P01579	645	0.0298	0.587	Pass	PG/ML	3906.25001
P22301	645	0.11921	10.40311	Pass	PG/ML	31250.00005
Q99731	645	0.95367	254.40539	Pass	PG/ML	1953.125
P01375	645	3.8147	19.48169	Pass	PG/ML	15625.00004
P40933	645	0.11921	12.53118	Pass	PG/ML	15624.99998
P10147	645	0.0298	6.76456	Pass	PG/ML	1953.125
P10145	645	0.23842	5.70077	Pass	PG/ML	1953.125
P39900	645	7.62939	304.75467	Pass	PG/ML	15624.9999
P04141	645	0.23842	0.10335	Pass	PG/ML	7812.50002
P09919	645	7.62939	242.89091	Pass	PG/ML	62500.00009
P15692	645	0.47684	310.13764	Pass	PG/ML	7812.50003
Q9P0M4	645	1.90735	19.45477	Pass	PG/ML	7812.5
P01133	645	0.47684	117.70431	Pass	PG/ML	976.5625
P13500	645	0.23842	398.48597	Pass	PG/ML	3906.25002
Q16552	645	0.11921	0.75712	Pass	PG/ML	15625.00005
P13725	645	0.11921	3.81956	Pass	PG/ML	1953.125
P09603	645	0.23842	158.81785	Pass	PG/ML	3906.24999
P13236	645	0.11921	71.77795	Pass	PG/ML	3906.25001
O14625	645	0.11921	429.27158	Pass	PG/ML	1953.12499
P01374	645	0.11921	8.89978	Pass	PG/ML	3906.25001
P80098	645	0.11921	2.4498	Pass	PG/ML	1953.125
P03956	645	0.95367	803.26378	Pass	PG/ML	7812.49998
P80075	539	0.0298	41.72343	Pass	PG/ML	1953.125
O95760	539	0.23842	0.14723	Pass	PG/ML	7812.50001
P48061	539	30.51758	127.23473	Pass	PG/ML	31249.99966
P78380	539	0.95367	55.15397	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	539	0.23842	2.80002	Pass	PG/ML	31250.0
P60568	539	0.11921	0.00418	Pass	PG/ML	3906.25003
Q07325	539	0.11921	29.3273	Pass	PG/ML	1953.12499
P01135	539	0.47684	4.3591	Pass	PG/ML	1953.12499
P01584	539	0.19073	0.13095	Pass	PG/ML	3125.00001
P05231	539	0.0596	0.66988	Pass	PG/ML	3906.25
P05112	539	0.0596	0.00878	Pass	PG/ML	3906.25
O43508	539	3.8147	339.09348	Pass	PG/ML	15625.00004
Q969D9	539	0.47684	0.19567	Pass	PG/ML	7812.50001
P51671	539	0.23842	279.00433	Pass	PG/ML	15624.99998
P14210	539	0.23842	110.17661	Pass	PG/ML	15624.99995
P49771	539	0.95367	107.75564	Pass	PG/ML	3906.25003
Q96PD4	539	0.23842	0.42167	Pass	PG/ML	3906.24998
P13232	539	0.23842	0.94059	Pass	PG/ML	1953.125
P35225	539	0.47684	0.33461	Pass	PG/ML	15625.00001
Q14116	539	0.95367	198.05713	Pass	PG/ML	15624.99996
Q99616	539	0.0596	426.06515	Pass	PG/ML	1953.125
P50591	539	0.95367	440.1291	Pass	PG/ML	7812.5
P02778	539	0.11921	47.05535	Pass	PG/ML	1953.12501
P01579	539	0.0298	0.20501	Pass	PG/ML	3906.25001
P22301	539	0.11921	4.33196	Pass	PG/ML	31250.00005
Q99731	539	0.95367	62.50648	Pass	PG/ML	1953.125
